state,year,total
National,1840,768
National,1933,6540
National,1934,11280
National,1935,11895
National,1936,12304
National,1937,10646
National,1938,10268
National,1939,10081
National,1940,8642
National,1941,6770
National,1942,4722
National,1943,3951
National,1944,4527
National,1945,5215
National,1946,5764
National,1947,6276
National,1948,4991
National,1949,7080
National,1950,8577
National,1951,7589
National,1952,7170
National,1953,7272
National,1954,8106
National,1955,8463
National,1956,8763
National,1957,8100
National,1958,8150
National,1959,8412
National,1960,7830
National,1961,8348
National,1962,8457
National,1963,8000
National,1964,8165
National,1965,8128
National,1966,7971
National,1967,7535
National,1968,9047
National,1969,9193
National,1970,8924
National,1971,8239
National,1972,7919
National,1973,7541
National,1974,7291
National,1975,7392
National,1976,6684
National,1977,6972
National,1978,7523
National,1979,7615
National,1980,8484
National,1981,8732
National,1982,7509
Victoria,1838,263
Victoria,1839,2091
Victoria,1840,2516
Victoria,1841,4829
Victoria,1842,5635
Victoria,1843,5400
Victoria,1844,4823
Victoria,1845,9531
Victoria,1846,11948
Victoria,1847,12101
Victoria,1848,12098
Victoria,1849,14780
Victoria,1850,17772
Victoria,1851,18956
Victoria,1852,10915
Victoria,1853,17045
Victoria,1854,25416
Victoria,1855,39242
Victoria,1856,41948
Victoria,1857,51849
Victoria,1858,51290
Victoria,1859,62673
Victoria,1860,63489
Victoria,1861,61899
Victoria,1862,62672
Victoria,1863,69644
Victoria,1864,73462
Victoria,1865,84442
Victoria,1866,85489
Victoria,1867,93981
Victoria,1868,92097
Victoria,1869,92448
Victoria,1870,106801
Victoria,1871,106758
Victoria,1872,104919
Victoria,1873,123703
Victoria,1874,121484
Victoria,1875,135398
Victoria,1876,135669
Victoria,1877,144296
Victoria,1878,157294
Victoria,1879,163196
Victoria,1880,161441
Victoria,1881,159142
Victoria,1882,212585
Victoria,1883,219199
Victoria,1884,231442
Victoria,1885,225526
Victoria,1886,249031
Victoria,1887,284989
Victoria,1888,285909
Victoria,1889,280713
Victoria,1890,297237
Victoria,1891,321575
Victoria,1892,319802
Victoria,1893,324406
Victoria,1894,336651
Victoria,1895,345339
Victoria,1896,336910
Victoria,1897,343986
Victoria,1898,370571
Victoria,1899,387601
Victoria,1900,415603
Victoria,1901,454748
Victoria,1902,475949
Victoria,1903,482058
Victoria,1904,507530
Victoria,1905,516869
Victoria,1906,534243
Victoria,1907,545219
Victoria,1908,565903
Victoria,1909,589781
Victoria,1910,626826
Victoria,1911,592490
Victoria,1912,619272
Victoria,1913,590458
Victoria,1914,1157617
Victoria,1915,1215235
Victoria,1916,1081339
Victoria,1917,1007660
Victoria,1918,960909
Victoria,1919,340374
Victoria,1920,315372
Victoria,1921,311101
Victoria,1922,347354
Victoria,1923,368868
Victoria,1924,411603
Victoria,1925,391369
Victoria,1926,378182
Victoria,1927,397629
Victoria,1928,419056
Victoria,1929,385280
Victoria,1930,369486
Victoria,1931,338007
Victoria,1932,334566
Victoria,1933,359709
Victoria,1934,410172
Victoria,1935,414507
Victoria,1936,417392
Victoria,1937,415162
Victoria,1938,415950
Victoria,1939,386369
Victoria,1940,316790
Victoria,1941,276831
Victoria,1942,206847
Victoria,1943,174160
Victoria,1944,191459
Victoria,1945,196601
Victoria,1946,250344
Victoria,1947,252174
Victoria,1948,203182
Victoria,1949,254314
Victoria,1950,262067
Victoria,1951,246212
Victoria,1952,244824
Victoria,1953,251386
Victoria,1954,259185
Victoria,1955,71860
Victoria,1956,66758
Victoria,1957,3259
Victoria,1964,41
Victoria,1965,332
Victoria,1976,39
Victoria,1977,261
Victoria,1992,332
Victoria,2007,429
Western Australia,1833,568
Western Australia,1834,599
Western Australia,1835,512
Western Australia,1836,555
Western Australia,1837,743
Western Australia,1838,460
Western Australia,1839,443
Western Australia,1840,656
Western Australia,1841,1294
Western Australia,1842,1299
Western Australia,1843,1293
Western Australia,1844,1244
Western Australia,1845,1257
Western Australia,1846,1378
Western Australia,1847,1317
Western Australia,1848,1458
Western Australia,1849,1464
Western Australia,1850,1769
Western Australia,1851,1716
Western Australia,1852,1936
Western Australia,1853,1554
Western Australia,1854,1853
Western Australia,1855,2203
Western Australia,1856,2116
Western Australia,1857,1775
Western Australia,1858,1591
Western Australia,1859,1659
Western Australia,1860,1766
Western Australia,1861,1649
Western Australia,1862,1409
Western Australia,1863,1708
Western Australia,1864,2285
Western Australia,1865,1785
Western Australia,1866,1710
Western Australia,1867,3096
Western Australia,1868,3268
Western Australia,1869,3174
Western Australia,1870,3469
Western Australia,1871,3295
Western Australia,1872,3374
Western Australia,1873,3252
Western Australia,1874,3279
Western Australia,1875,4328
Western Australia,1876,4006
Western Australia,1877,4756
Western Australia,1878,6104
Western Australia,1879,6524
Western Australia,1880,6857
Western Australia,1881,6840
Western Australia,1882,8562
Western Australia,1883,11483
Western Australia,1884,12651
Western Australia,1885,23782
Western Australia,1886,27848
Western Australia,1887,29764
Western Australia,1888,36106
Western Australia,1889,37801
Western Australia,1890,38276
Western Australia,1891,45255
Western Australia,1892,51799
Western Australia,1893,59497
Western Australia,1894,66429
Western Australia,1895,71436
Western Australia,1896,108624
Western Australia,1897,140355
Western Australia,1898,181852
Western Australia,1899,184746
Western Australia,1900,193255
Western Australia,1901,187229
Western Australia,1902,187508
Western Australia,1903,226146
Western Australia,1904,271709
Western Australia,1905,297956
Western Australia,1906,294803
Western Australia,1907,291631
Western Australia,1908,302859
Western Australia,1909,304506
Western Australia,1910,331240
Western Australia,1911,353845
Western Australia,1912,353788
Western Australia,1913,354524
Western Australia,1914,398052
Western Australia,1915,375521
Western Australia,1916,331509
Western Australia,1917,329243
Western Australia,1918,319877
Western Australia,1919,292296
Western Australia,1920,290606
Western Australia,1921,275905
Western Australia,1922,267691
Western Australia,1923,297551
Western Australia,1924,311233
Western Australia,1925,314144
Western Australia,1926,313087
Western Australia,1927,321339
Western Australia,1928,360497
Western Australia,1929,393417
Western Australia,1930,357460
Western Australia,1931,331971
Western Australia,1932,340042
Western Australia,1933,350209
Western Australia,1934,348526
Western Australia,1935,378290
Western Australia,1936,376570
Western Australia,1937,377149
Western Australia,1938,353401
Western Australia,1939,321036
Western Australia,1940,267208
Western Australia,1941,265456
Western Australia,1942,195331
Western Australia,1943,175140
Western Australia,1944,183796
Western Australia,1945,208742
Western Australia,1946,253978
Western Australia,1947,274862
Western Australia,1948,284246
Western Australia,1949,283290
Western Australia,1950,263919
Western Australia,1951,129368
Western Australia,1952,136803
Western Australia,1953,142975
Western Australia,1954,138909
Western Australia,1955,20235
Western Australia,1956,8395
Western Australia,1957,4555
Western Australia,1958,4661
Western Australia,1959,4949
Western Australia,1960,4409
Western Australia,1961,3077
Western Australia,1962,4139
Western Australia,1963,8225
Western Australia,1964,4142
Western Australia,1965,2726
Western Australia,1966,2753
Western Australia,1967,2512
Western Australia,1968,2362
Western Australia,1969,2862
Western Australia,1970,2830
Western Australia,1971,2860
Western Australia,1972,2711
Western Australia,1973,3877
Western Australia,1974,3964
Western Australia,1975,3597
Western Australia,1976,3400
Western Australia,1977,3122
Western Australia,1978,2639
Western Australia,1979,2909
Western Australia,1980,721
ACT,1924,7
ACT,1925,457
ACT,1926,4506
ACT,1927,12071
ACT,1928,27646
ACT,1929,28485
ACT,1930,28393
ACT,1931,25582
ACT,1932,24668
ACT,1933,23362
ACT,1934,23425
ACT,1935,21861
ACT,1936,20446
ACT,1937,23521
ACT,1938,22398
ACT,1939,25782
ACT,1940,25021
ACT,1941,23440
ACT,1942,24680
ACT,1943,23392
ACT,1944,22386
ACT,1945,24117
ACT,1946,28498
ACT,1947,30053
ACT,1948,30702
ACT,1949,28692
ACT,1950,26609
ACT,1951,26228
ACT,1952,27242
ACT,1953,26697
ACT,1954,22901
ACT,1955,22341
ACT,1956,26211
ACT,1957,29905
ACT,1958,33856
ACT,1959,34475
ACT,1960,34189
ACT,1961,37946
ACT,1962,41999
ACT,1963,53669
ACT,1964,60285
ACT,1965,65102
ACT,1966,64315
ACT,1967,63222
ACT,1968,64259
ACT,1969,65826
ACT,1970,64189
ACT,1971,66765
ACT,1972,61694
ACT,1973,59528
ACT,1974,61443
ACT,1975,58575
ACT,1976,60360
ACT,1977,62319
ACT,1978,68391
ACT,1979,75396
ACT,1980,73349
ACT,1981,73070
ACT,1982,76880
ACT,1983,82952
ACT,1984,74120
ACT,1985,78702
ACT,1986,77160
ACT,1987,74870
ACT,1988,83171
ACT,1989,82512
ACT,1990,81543
ACT,1991,85022
ACT,1992,82242
ACT,1993,81020
ACT,1994,78559
ACT,1995,80121
ACT,1996,839
ACT,1997,838
ACT,1998,770
ACT,1999,99
ACT,2001,129
ACT,2002,667
ACT,2003,742
ACT,2004,675
ACT,2005,478
ACT,2006,398
ACT,2007,271
Queensland,1846,310
Queensland,1847,624
Queensland,1848,811
Queensland,1849,700
Queensland,1850,779
Queensland,1851,740
Queensland,1852,715
Queensland,1853,822
Queensland,1854,804
Queensland,1855,895
Queensland,1856,2112
Queensland,1857,2388
Queensland,1858,4275
Queensland,1859,5078
Queensland,1860,7234
Queensland,1861,13132
Queensland,1862,17974
Queensland,1863,19610
Queensland,1864,22071
Queensland,1865,24302
Queensland,1866,28638
Queensland,1867,35223
Queensland,1868,39306
Queensland,1869,37581
Queensland,1870,40684
Queensland,1871,35728
Queensland,1872,39249
Queensland,1873,48738
Queensland,1874,49875
Queensland,1875,58421
Queensland,1876,65835
Queensland,1877,69280
Queensland,1878,75286
Queensland,1879,83615
Queensland,1880,82045
Queensland,1881,87899
Queensland,1882,92085
Queensland,1883,96933
Queensland,1884,104544
Queensland,1885,110749
Queensland,1886,132185
Queensland,1887,134578
Queensland,1888,164587
Queensland,1889,169190
Queensland,1890,183578
Queensland,1891,188634
Queensland,1892,208918
Queensland,1893,201456
Queensland,1894,202219
Queensland,1895,229645
Queensland,1896,253552
Queensland,1897,235730
Queensland,1898,241731
Queensland,1899,253627
Queensland,1900,345662
Queensland,1901,393366
Queensland,1902,394458
Queensland,1903,353542
Queensland,1904,433825
Queensland,1905,417432
Queensland,1906,383040
Queensland,1907,452134
Queensland,1908,525360
Queensland,1909,522956
Queensland,1910,556815
Queensland,1911,571252
Queensland,1912,607763
Queensland,1913,697061
Queensland,1914,701940
Queensland,1915,725086
Queensland,1916,668027
Queensland,1917,713330
Queensland,1918,670491
Queensland,1919,706643
Queensland,1920,601642
Queensland,1921,658150
Queensland,1922,701067
Queensland,1923,771301
Queensland,1924,868143
Queensland,1925,871930
Queensland,1926,888074
Queensland,1927,831196
Queensland,1928,830744
Queensland,1929,935758
Queensland,1930,936307
Queensland,1931,882317
Queensland,1932,862586
Queensland,1933,912122
Queensland,1934,903382
Queensland,1935,913393
Queensland,1936,939834
Queensland,1937,930281
Queensland,1938,923462
Queensland,1939,902258
Queensland,1940,726869
Queensland,1941,598044
Queensland,1942,477276
Queensland,1943,374263
Queensland,1944,381628
Queensland,1945,430962
Queensland,1946,498795
Queensland,1947,518437
Queensland,1948,460835
Queensland,1949,520893
Queensland,1950,530151
Queensland,1951,514571
Queensland,1952,521166
Queensland,1953,546517
Queensland,1954,535216
Queensland,1955,30474
Queensland,1956,13089
Tasmania,1810,5
Tasmania,1812,7
Tasmania,1814,38
Tasmania,1816,159
Tasmania,1817,383
Tasmania,1818,460
Tasmania,1819,435
Tasmania,1820,460
Tasmania,1821,268
Tasmania,1822,212
Tasmania,1823,204
Tasmania,1824,436
Tasmania,1825,1211
Tasmania,1826,1338
Tasmania,1827,1129
Tasmania,1828,546
Tasmania,1829,1815
Tasmania,1830,1595
Tasmania,1831,1837
Tasmania,1832,2301
Tasmania,1833,3781
Tasmania,1834,4732
Tasmania,1835,5835
Tasmania,1836,4689
Tasmania,1837,4730
Tasmania,1838,5470
Tasmania,1839,5752
Tasmania,1840,7258
Tasmania,1841,8092
Tasmania,1842,10990
Tasmania,1843,11744
Tasmania,1844,11360
Tasmania,1845,15451
Tasmania,1846,14235
Tasmania,1847,12474
Tasmania,1848,13412
Tasmania,1849,13386
Tasmania,1850,13541
Tasmania,1851,14244
Tasmania,1852,13250
Tasmania,1853,16951
Tasmania,1854,19945
Tasmania,1855,27294
Tasmania,1856,27888
Tasmania,1857,22781
Tasmania,1858,22370
Tasmania,1859,19097
Tasmania,1860,16322
Tasmania,1861,18873
Tasmania,1862,22391
Tasmania,1863,20141
Tasmania,1864,17654
Tasmania,1865,18849
Tasmania,1866,28583
Tasmania,1867,18086
Tasmania,1868,17415
Tasmania,1869,19184
